institution,Location,Region,SIZE,FOCUS,RES.,STATUS,academic_reputation_score,Academic_Reputation_Rank,employer_reputation_score,Employer_Reputation_Rank,faculty_student_score,Faculty_Student_Rank,citations_score,Citations_per_Faculty_Rank,international_faculty_score,International_Faculty_Rank,international_student_score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,year,rank,ranking_level,predicted_rank,student_performance_score,student_program_target,label_encoded,student_program_target_predicted
University of Cambridge,United Kingdom,Europe,L,FC,VH,A,100.0,3,100.0,4,100.0,17,84.6,96,100.0,73,94.8,98,99.3,10,100.0,5,84.8,127=,2025,3.149800000000001,Top,1,94.85000000000001,Beasiswa,0,Beasiswa
Massachusetts Institute of Technology (MIT),United States,Americas,M,CO,VH,B,100.0,4,100.0,2,100.0,11,100.0,9,99.3,100,86.8,143,96.0,58,100.0,8,99.0,15=,2025,3.5074999999999994,Top,2,96.7,Beasiswa,0,Beasiswa
University of Oxford,United Kingdom,Europe,L,FC,VH,A,100.0,2,100.0,5,100.0,8,84.8,93,98.1,120,97.7,73,100.0,1,100.0,3,85.0,126,2025,4.635499999999999,Top,3,95.625,Beasiswa,0,Beasiswa
Imperial College London,United Kingdom,Europe,L,FC,VH,A,98.5,22,99.5,11,98.2,45,93.9,54,100.0,66,99.6,44,97.4,34,93.4,61,99.7,6,2025,5.4396,Top,4,97.55000000000001,Beasiswa,0,Beasiswa
Stanford University,United States,Americas,L,FC,VH,B,100.0,5,100.0,3,100.0,12,99.0,27,70.3,284,60.8,244,96.8,45,100.0,2,81.2,148=,2025,5.564200000000008,Top,5,89.95,Beasiswa,0,Beasiswa
California Institute of Technology (Caltech),United States,Americas,S,CO,VH,B,96.5,29,95.3,33,100.0,4,100.0,5,100.0,65,79.8,172,65.5,549,31.0,407,62.5,253,2025,7.026299999999995,Top,6,94.075,Beasiswa,0,Beasiswa
Harvard University,United States,Americas,L,FC,VH,B,100.0,1,100.0,1,96.3,53,100.0,1,74.1,269,69.0,215,99.6,5,100.0,1,84.4,130,2025,9.320200000000002,Top,7,91.325,Beasiswa,0,Beasiswa
National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,A,99.5,15,91.1,48,68.8,189,93.1,61,100.0,41,88.9,129,91.6,146,100.0,6,97.7,26=,2025,12.180499999999997,Top,8,87.57499999999999,Beasiswa,0,Beasiswa
University of Pennsylvania,United States,Americas,L,FC,VH,B,96.3,31,91.9,45,99.8,28,74.0,138,90.9,188,66.2,226,91.9,137,100.0,7,93.0,71,2025,12.913200000000003,Top,9,84.075,Outsourcing,1,Outsourcing
UCL,United Kingdom,Europe,XL,FC,VH,A,99.5,14,98.3,18,95.9,56,72.2,145,99.0,106,100.0,21,99.9,2,70.3,157,74.8,190=,2025,13.236599999999996,Top,10,91.9,Beasiswa,0,Beasiswa
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,L,FO,VH,A,98.8,19,87.2,57,65.9,199,97.9,35,100.0,25,98.6,63,95.7,64,90.5,73,98.8,18,2025,14.038799999999998,Top,11,90.30000000000001,Beasiswa,0,Beasiswa
The University of Hong Kong,Hong Kong SAR,Asia,L,FC,VH,A,97.4,27,59.4,135,81.2,124,86.4,89,100.0,33,99.3,52,81.4,300,99.7,14,89.2,101=,2025,15.3893,Top,12,91.075,Beasiswa,0,Beasiswa
Peking University,China (Mainland),Asia,XL,FC,VH,A,99.5,13,96.6,28,92.6,75,97.7,40,50.3,365,23.6,497,79.8,329,94.2,56,46.9,330=,2025,21.20379999999999,Top,13,78.35000000000001,Outsourcing,1,Outsourcing
University of Chicago,United States,Americas,L,FC,VH,B,99.1,17,96.4,29,94.2,69,60.8,197,79.0,244,87.0,140,85.1,245,99.1,16,46.9,330=,2025,22.5218,Top,14,85.275,Beasiswa,0,Beasiswa
Tsinghua University,China (Mainland),Asia,XL,FC,VH,A,99.2,16,97.7,22,95.0,62,99.1,26,18.1,623,13.4,654,79.2,337,92.3,68,40.4,363=,2025,25.88720000000002,Top,15,76.67499999999998,Outsourcing,1,Outsourcing
EPFL,Switzerland,Europe,M,FO,VH,A,84.2,56,67.2,111,91.2,80,93.6,57,100.0,28,100.0,14,81.7,291,27.2,440,86.7,114=,2025,26.373599999999996,Top,16,92.25,Beasiswa,0,Beasiswa
Yale University,United States,Americas,L,FC,VH,B,99.9,9,99.9,7,100.0,3,38.6,363,91.5,181,63.3,238,93.9,100,98.5,21,92.2,76=,2025,27.407799999999984,Top,17,75.45,Outsourcing,1,Outsourcing
Columbia University,United States,Americas,XL,FC,VH,B,99.6,12,98.8,15,100.0,16,31.7,417,41.5,413,97.0,79,98.5,19,99.9,9,71.8,211=,2025,27.41139999999998,Top,18,82.07499999999999,Outsourcing,1,Outsourcing
University of Michigan-Ann Arbor,United States,Americas,XL,FC,VH,A,97.9,26,92.1,43,80.3,133,47.6,284,65.5,299,39.2,359,95.8,63,94.5,55,62.2,254=,2025,29.605000000000004,Top,19,66.25,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Seoul National University,South Korea,Asia,L,FC,VH,A,98.5,20,98.6,16,83.1,117,71.7,151,10.5,701+,16.9,586,73.2,435,100.0,4,96.0,46=,2025,30.419500000000003,Top,20,67.55,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Edinburgh,United Kingdom,Europe,XL,FC,VH,A,98.3,24,97.2,24,65.5,201,47.7,282,98.7,111,99.8,41,99.5,7,55.9,222,99.0,15=,2025,30.765299999999982,Top,21,77.825,Outsourcing,1,Outsourcing
The University of Tokyo,Japan,Asia,L,FC,VH,A,100.0,7,99.8,9,89.3,89,57.3,215,10.1,701+,29.7,432,87.4,207,99.9,10,98.3,22,2025,30.941599999999998,Top,22,69.075,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Johns Hopkins University,United States,Americas,L,FC,VH,B,86.0,53,62.6,129,100.0,7,84.2,99,63.7,307,95.8,92,98.7,15,71.5,152,61.9,258=,2025,31.170799999999996,Top,23,91.5,Beasiswa,0,Beasiswa
"Nanyang Technological University, Singapore (NTU)",Singapore,Asia,L,FC,VH,A,91.9,42,73.3,92,80.6,130,92.4,66,100.0,42,83.5,160,89.4,178,83.9,104,95.6,50=,2025,31.547000000000015,Top,24,87.1,Beasiswa,0,Beasiswa
Cornell University,United States,Americas,L,FC,VH,B,98.3,25,93.1,42,52.7,289,97.5,43,54.2,347,63.4,237,94.0,99,97.1,34,72.1,208=,2025,31.679299999999998,Top,25,77.975,Outsourcing,1,Outsourcing
Université PSL,France,Europe,L,CO,VH,A,74.4,81,97.6,23,98.1,46,87.6,85,62.3,315,65.0,230,99.8,3,97.1,33,73.4,197,2025,32.65830000000003,Top,26,81.275,Outsourcing,1,Outsourcing
Northwestern University,United States,Americas,L,FC,VH,B,84.0,58,68.0,107,97.6,48,67.7,161,45.4,393,52.0,283,89.4,179,96.8,37,55.4,285=,2025,33.69430000000002,Top,27,75.325,Outsourcing,1,Outsourcing
"University of California, Berkeley (UCB)",United States,Americas,XL,FC,VH,A,100.0,6,100.0,6,23.5,615,98.2,33,91.5,182,61.0,242,97.2,39,98.4,23,100.0,2,2025,34.224999999999966,Top,28,70.675,Outsourcing,1,Outsourcing
King's College London,United Kingdom,Europe,XL,FC,VH,A,90.3,44,85.7,64,64.3,210,53.6,238,99.1,103,99.5,47,98.6,17,59.8,205,96.2,44=,2025,37.1913,Top,29,76.925,Outsourcing,1,Outsourcing
McGill University,Canada,Americas,L,FC,VH,A,94.3,34,87.6,56,62.3,224,57.9,212,83.7,225,89.6,124,94.2,94,98.3,24,99.1,13,2025,38.83380000000001,Top,30,76.025,Outsourcing,1,Outsourcing
Princeton University,United States,Americas,M,CO,VH,B,99.8,10,98.3,19,57.0,258,100.0,3,9.6,701+,56.6,264,78.3,354,95.7,48,51.5,312,2025,38.838599999999985,Top,31,78.35000000000001,Outsourcing,1,Outsourcing
The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Asia,L,FC,VH,A,86.7,51,53.3,159,64.2,212,92.9,64,100.0,58,87.5,137,74.2,419,89.0,82,86.7,114=,2025,41.57069999999995,Top,32,82.825,Outsourcing,1,Outsourcing
New York University (NYU),United States,Americas,XL,FC,VH,B,96.3,32,98.8,14,90.5,83,28.6,453,30.2,492,98.1,68,92.6,126,98.4,22,95.4,55=,2025,41.99250000000001,Top,33,78.375,Outsourcing,1,Outsourcing
Technical University of Munich,Germany,Europe,XL,FO,VH,A,83.0,61,98.6,17,76.8,155,75.9,133,80.4,236,98.6,64,95.6,68,34.5,365,93.1,70,2025,42.255199999999995,Top,34,83.575,Outsourcing,1,Outsourcing
Fudan University,China (Mainland),Asia,XL,FC,VH,A,85.7,54,87.8,55,79.7,140,80.7,107,88.4,201,35.1,390,67.2,519,64.4,183,82.7,142,2025,42.6334,Top,35,70.30000000000001,Outsourcing,1,Outsourcing
Kyoto University,Japan,Asia,L,FC,VH,A,98.8,18,99.0,13,94.2,68,39.3,357,15.9,653,19.0,566,85.7,236,72.8,147,85.2,124=,2025,43.281499999999966,Top,36,62.825,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Melbourne,Australia,Oceania,XL,FC,VH,A,98.5,21,93.9,39,15.4,701+,93.0,62,95.1,148,99.8,39,97.4,33,96.5,39,99.6,9,2025,44.09239999999998,Top,37,76.675,Outsourcing,1,Outsourcing
"University of California, Los Angeles (UCLA)",United States,Americas,XL,FC,VH,A,100.0,8,99.8,8,35.4,448,74.0,137,42.2,407,22.3,515,95.5,69,94.7,53,67.1,232=,2025,44.764599999999994,Top,38,57.925000000000004,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Toronto,Canada,Americas,XL,FC,VH,A,99.7,11,96.9,27,44.9,344,50.8,257,96.9,132,96.1,90,97.7,29,98.7,19,100.0,1,2025,45.613099999999996,Top,39,72.875,Outsourcing,1,Outsourcing
The University of Sydney,Australia,Oceania,XL,FC,VH,A,96.4,30,90.0,51,10.9,701+,93.7,56,99.9,87,100.0,17,95.8,61,93.1,63,99.6,7,2025,47.1229,Top,40,75.25,Outsourcing,1,Outsourcing
The University of New South Wales (UNSW Sydney),Australia,Oceania,XL,FC,VH,A,90.5,43,90.4,50,20.6,660,94.9,49,100.0,57,99.4,48,98.3,20,97.7,29,99.2,11=,2025,47.18130000000001,Top,41,76.35,Outsourcing,1,Outsourcing
The Australian National University,Australia,Oceania,L,FC,VH,A,93.8,36,75.4,85,34.6,457,84.6,97,100.0,52,96.2,89,91.4,151,56.6,216,97.1,30=,2025,47.192099999999954,Top,42,77.3,Outsourcing,1,Outsourcing
The Hong Kong University of Science and Technology,Hong Kong SAR,Asia,M,FO,VH,A,81.1,68,50.3,179,56.7,261,99.7,16,100.0,22,95.4,94,46.7,701+,65.4,180,77.6,170=,2025,49.98119999999998,Top,43,83.225,Outsourcing,1,Outsourcing
University of British Columbia,Canada,Americas,XL,FC,VH,A,98.3,23,94.3,36,34.5,459,57.7,214,95.5,142,72.8,200,96.2,53,74.6,141,99.8,4,2025,50.602999999999994,Middle,44,65.825,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Manchester,United Kingdom,Europe,XL,FC,VH,A,95.6,33,98.1,20,51.3,297,45.1,307,93.1,169,99.2,55,99.2,12,87.6,90,99.8,3,2025,50.90160000000001,Middle,45,72.8,Outsourcing,1,Outsourcing
Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,A,84.0,57,86.3,62,58.6,251,99.6,17,23.1,558,19.6,553,73.7,424,73.5,144,80.3,154,2025,51.56659999999997,Middle,46,65.45,Pelatihan Lanjutan,2,Pelatihan Lanjutan
KAIST - Korea Advanced Institute of Science & Technology,South Korea,Asia,M,CO,VH,A,87.7,48,91.0,49,60.2,238,96.2,46,21.1,587,10.9,701+,46.8,701+,63.3,187,60.3,268,2025,53.99649999999997,Middle,47,63.75000000000001,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Monash University,Australia,Oceania,XL,FC,VH,A,89.2,47,79.6,78,9.4,701+,87.6,84,100.0,59,100.0,24,94.8,81,79.4,126,98.2,23,2025,54.46050000000004,Middle,48,71.55,Outsourcing,1,Outsourcing
The University of Queensland,Australia,Oceania,XL,FC,VH,A,86.7,50,74.0,89,21.2,653,90.2,75,100.0,54,100.0,23,96.7,47,56.7,214,96.7,36,2025,56.60010000000005,Middle,49,74.525,Outsourcing,1,Outsourcing
Zhejiang University,China (Mainland),Asia,XL,FC,VH,A,75.3,79,95.4,32,54.7,277,99.5,19,95.0,149,15.9,608,91.8,138,55.5,224,30.7,440=,2025,58.4692,Middle,50,61.35,Pelatihan Lanjutan,2,Pelatihan Lanjutan
"University of California, San Diego (UCSD)",United States,Americas,XL,FC,VH,A,89.3,45,57.8,140,50.8,304,67.0,165,54.6,342,44.3,328,95.5,70,21.7,525,44.3,348=,2025,61.072100000000006,Middle,51,62.849999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad de Buenos Aires (UBA),Argentina,Americas,XL,FC,VH,A,94.1,35,94.1,38,71.7,183,1.6,701+,63.9,305,64.6,232,73.4,430,99.8,13,51.8,310=,2025,62.50620000000006,Middle,52,58.0,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universiti Malaya (UM),Malaysia,Asia,L,FC,VH,A,82.9,62,95.1,34,75.7,163,29.1,447,60.2,324,64.2,234,91.8,140,69.3,163,83.6,132=,2025,65.75890000000003,Middle,53,62.97500000000001,Pelatihan Lanjutan,2,Pelatihan Lanjutan
City University of Hong Kong,Hong Kong SAR,Asia,M,CO,VH,A,60.9,120,30.8,305,89.5,88,100.0,6,100.0,13,100.0,7,62.9,588,37.5,342,72.9,201,2025,66.11540000000005,Middle,54,87.6,Beasiswa,0,Beasiswa
Yonsei University,South Korea,Asia,L,FC,VH,B,81.5,67,97.0,25,84.2,112,44.1,312,20.7,590,51.2,287,78.7,343,87.8,88,88.9,103=,2025,67.83829999999998,Middle,55,65.25,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Ludwig-Maximilians-Universität München,Germany,Europe,XL,FC,VH,A,92.2,41,86.6,59,38.5,410,50.0,262,75.1,262,37.6,374,95.5,71,66.9,173,62.2,254=,2025,68.5201,Middle,56,54.574999999999996,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Sorbonne University,France,Europe,XL,FC,VH,A,87.2,49,52.0,166,43.0,363,72.3,144,33.8,471,46.7,315,99.8,4,79.7,125,87.6,111,2025,68.52350000000003,Middle,57,62.3,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Delft University of Technology,Netherlands,Europe,L,CO,VH,A,74.4,82,83.0,66,39.4,396,79.7,110,100.0,69,91.4,117,93.7,105,54.8,227,99.1,14,2025,69.31620000000002,Middle,58,71.225,Outsourcing,1,Outsourcing
University of Amsterdam,Netherlands,Europe,XL,FC,VH,A,83.8,60,52.1,163,21.4,648,92.2,67,96.0,139,87.5,138,96.3,50,79.8,124,38.2,384=,2025,70.80280000000003,Middle,59,71.225,Outsourcing,1,Outsourcing
The Hong Kong Polytechnic University,Hong Kong SAR,Asia,L,CO,VH,A,68.0,99,35.6,265,65.0,204,94.9,51,100.0,39,91.9,110,78.9,338,64.5,181,77.4,173=,2025,73.54010000000001,Middle,60,79.95,Outsourcing,1,Outsourcing
University of Bristol,United Kingdom,Europe,L,FC,VH,A,75.8,78,82.5,69,36.7,437,75.9,134,87.5,206,89.8,121,94.6,84,51.2,250,98.9,17,2025,73.70150000000002,Middle,61,69.55,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Duke University,United States,Americas,L,FC,VH,B,86.0,52,74.7,86,100.0,6,35.1,382,16.3,647,61.0,243,93.3,111,85.5,99,75.0,186=,2025,74.00679999999997,Middle,62,70.525,Outsourcing,1,Outsourcing
Carnegie Mellon University,United States,Americas,L,FC,VH,B,69.8,92,80.1,75,40.9,383,98.9,28,33.7,472,99.1,58,79.9,324,61.5,196,24.5,492=,2025,74.60510000000004,Middle,63,77.175,Outsourcing,1,Outsourcing
Lomonosov Moscow State University,Russia,Europe,XL,FC,VH,A,78.0,73,82.3,70,99.7,30,4.1,701+,19.7,604,91.5,114,88.1,196,95.8,47,3.5,701+,2025,75.8071,Middle,64,68.32499999999999,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Institut Polytechnique de Paris,France,Europe,M,CO,VH,A,44.7,189,99.6,10,95.9,55,86.1,92,99.1,104,98.0,71,89.6,173,97.7,31,54.8,289=,2025,77.42359999999996,Middle,65,81.17500000000001,Outsourcing,1,Outsourcing
Korea University,South Korea,Asia,L,FC,VH,B,78.2,72,93.8,40,73.0,178,45.0,308,15.2,665,45.7,321,65.7,547,89.0,81,85.2,124=,2025,77.52259999999995,Middle,66,60.474999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Osaka University,Japan,Asia,L,FC,VH,A,82.4,64,87.0,58,45.2,343,54.9,232,23.9,549,12.2,675,68.2,512,33.0,387,68.0,228=,2025,78.9318,Middle,67,48.675,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Ruprecht-Karls-Universität Heidelberg,Germany,Europe,L,FO,VH,A,76.9,76,59.4,136,99.4,32,32.7,401,54.2,346,53.6,275,94.5,88,25.2,463,77.6,170=,2025,80.73010000000001,Middle,68,65.65,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Texas at Austin,United States,Americas,XL,FC,VH,A,93.5,38,86.6,60,8.1,701+,76.7,128,6.1,701+,11.7,685,91.7,144,81.7,113,52.1,305=,2025,81.64749999999997,Middle,69,47.5,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Tokyo Institute of Technology (Tokyo Tech),Japan,Asia,M,FO,VH,A,75.1,80,94.1,37,84.1,114,43.1,320,23.4,556,30.5,424,61.2,613,23.7,475,62.2,254=,2025,82.31879999999997,Middle,70,58.199999999999996,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The London School of Economics and Political Science (LSE),United Kingdom,Europe,L,SP,VH,A,67.2,101,97.0,26,35.1,452,69.4,158,100.0,40,100.0,12,81.2,305,99.6,15,91.3,85,2025,85.17340000000002,Middle,71,67.92500000000001,Pelatihan Lanjutan,2,Outsourcing
KU Leuven,Belgium,Europe,XL,FC,VH,A,84.6,55,49.6,181,7.1,701+,91.0,72,93.8,163,47.7,305,99.5,8,75.3,139,51.2,313=,2025,85.8041,Middle,72,57.599999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Wisconsin-Madison,United States,Americas,XL,FC,VH,A,77.7,74,47.8,193,74.3,170,23.7,513,35.3,454,23.6,498,91.6,149,81.6,116,59.6,269=,2025,88.1484,Middle,73,49.824999999999996,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Auckland,New Zealand,Oceania,XL,FC,VH,A,82.2,65,44.7,205,15.5,701+,66.9,166,100.0,76,84.0,156,87.4,206,92.9,64,99.7,5,2025,88.67440000000002,Middle,74,62.150000000000006,Pelatihan Lanjutan,2,Outsourcing
University of Illinois at Urbana-Champaign,United States,Americas,XL,FC,VH,A,83.9,59,75.7,84,6.4,701+,77.5,124,14.0,686,56.3,266,90.4,165,81.7,114,65.0,241=,2025,91.75129999999999,Middle,75,56.025000000000006,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Université Paris-Saclay,France,Europe,XL,CO,VH,A,60.7,121,99.1,12,99.8,25,35.0,384,35.7,448,58.6,253,98.6,16,70.8,155,72.6,202=,2025,93.30019999999999,Middle,76,63.525,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad Nacional Autónoma de México (UNAM),Mexico,Americas,XL,FC,VH,A,97.0,28,94.4,35,37.4,430,2.4,701+,7.5,701+,2.3,701+,93.2,112,93.2,62,83.4,136=,2025,93.338,Middle,77,34.775000000000006,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Copenhagen,Denmark,Europe,XL,FC,VH,A,74.0,83,31.6,299,99.8,27,23.1,519,84.9,221,15.6,613,98.2,22,90.8,72,73.2,198=,2025,94.00759999999997,Middle,78,53.125,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Pohang University of Science And Technology (POSTECH),South Korea,Asia,S,FO,VH,B,45.9,178,80.0,76,99.9,24,96.9,45,27.6,511,2.7,701+,26.6,701+,11.0,701+,36.6,393=,2025,94.38640000000001,Middle,79,61.35,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Freie Universitaet Berlin,Germany,Europe,L,FC,VH,A,80.3,71,56.9,143,5.0,701+,71.7,150,62.4,314,43.7,330,93.1,113,32.8,389,31.3,435=,2025,95.82269999999997,Middle,80,50.175,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Glasgow,United Kingdom,Europe,XL,FC,VH,A,77.4,75,67.7,110,38.0,418,32.5,405,95.7,141,99.4,49,97.6,30,33.5,378,98.5,20,2025,95.91950000000006,Middle,81,61.825,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Lund University,Sweden,Europe,L,FC,VH,A,68.3,96,52.5,160,55.5,271,44.6,309,97.4,124,73.4,198,96.7,48,86.5,95,99.6,8,2025,95.95909999999999,Middle,82,60.45,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Washington,United States,Americas,XL,FC,VH,A,81.9,66,55.5,150,28.6,542,78.8,119,11.0,701+,32.8,407,95.6,67,68.7,170,66.5,235,2025,97.58689999999999,Middle,83,55.525000000000006,Pelatihan Lanjutan,2,Pelatihan Lanjutan
National Taiwan University (NTU),Taiwan,Asia,XL,FC,VH,A,93.4,39,92.1,44,25.5,583,44.3,310,16.7,644,27.4,451,71.5,459,99.9,11,90.0,94=,2025,99.11340000000004,Middle,84,47.65,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Tohoku University,Japan,Asia,L,FC,VH,A,73.8,84,82.8,67,97.8,47,23.9,510,14.1,682,11.4,689,68.3,510,22.6,507,78.6,164=,2025,99.50669999999991,Middle,85,51.725,Pelatihan Lanjutan,2,Pelatihan Lanjutan
KTH Royal Institute of Technology,Sweden,Europe,L,FO,VH,A,45.2,186,55.6,149,62.3,225,86.1,91,92.0,175,65.9,227,91.1,155,62.4,191,94.8,58,2025,100.06250000000001,Middle,86,64.875,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Brown University,United States,Americas,M,FC,VH,B,59.9,123,49.6,180,77.7,151,76.4,130,79.9,239,50.9,289,83.2,277,63.6,186,46.6,333,2025,100.30819999999996,Middle,87,66.225,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Zurich,Switzerland,Europe,L,FO,VH,A,59.9,124,26.4,361,92.2,78,40.1,352,100.0,71,42.8,338,94.3,90,88.6,84,58.7,273=,2025,105.13070000000003,Middle,88,58.75,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Science and Technology of China,China (Mainland),Asia,L,CO,VH,A,50.0,162,23.7,402,94.7,63,97.7,38,11.6,701+,5.1,701+,75.7,393,31.9,395,11.9,622,2025,107.95459999999999,Middle,89,61.87499999999999,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Sungkyunkwan University(SKKU),South Korea,Asia,L,FC,VH,B,57.9,134,70.7,100,80.5,131,41.3,338,17.5,632,41.7,341,54.2,701+,36.5,348,79.1,161=,2025,108.59439999999996,Middle,90,55.349999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Warwick,United Kingdom,Europe,L,FC,VH,A,72.2,86,86.4,61,35.5,445,37.7,367,98.1,119,99.1,57,94.2,92,65.7,175,89.7,98,2025,108.85850000000003,Middle,91,61.125,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Rice University,United States,Americas,M,CO,VH,B,39.1,220,27.3,350,62.5,222,87.9,83,77.5,247,94.1,99,62.2,602,29.5,421,20.6,529,2025,109.99870000000004,Middle,92,70.9,Outsourcing,1,Outsourcing
University of Leeds,United Kingdom,Europe,XL,FC,VH,A,70.5,91,75.9,83,36.4,438,39.8,355,82.5,230,88.5,132,98.8,14,50.9,251,71.8,211=,2025,112.7133000000001,Middle,93,58.8,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Birmingham,United Kingdom,Europe,XL,FC,VH,A,68.9,94,69.0,105,39.0,402,40.5,348,92.6,171,89.3,127,97.5,31,44.5,285,96.8,35,2025,114.7278,Middle,94,59.425,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Uppsala University,Sweden,Europe,L,FC,VH,A,61.4,115,33.7,277,52.0,292,42.3,326,99.4,99,81.1,170,96.7,49,68.4,171,99.2,11=,2025,115.69080000000002,Middle,95,59.199999999999996,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Alberta,Canada,Americas,XL,FC,VH,A,57.0,136,42.2,222,39.1,400,61.3,194,98.3,116,71.0,207,96.0,55,70.0,159,97.6,28,2025,116.51140000000004,Middle,96,57.099999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
King Fahd University of Petroleum & Minerals,Saudi Arabia,Asia,M,FO,VH,A,38.0,226,46.5,198,86.0,101,78.0,121,100.0,26,47.6,307,73.9,422,97.8,28,20.1,530=,2025,119.25519999999999,Middle,97,62.4,Pelatihan Lanjutan,2,Pelatihan Lanjutan
"University of North Carolina, Chapel Hill",United States,Americas,XL,FC,VH,A,61.4,114,36.5,258,72.9,179,47.2,288,23.5,555,11.1,696,91.6,147,55.2,225,44.6,343=,2025,120.06520000000002,Middle,98,48.15,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Pennsylvania State University,United States,Americas,XL,FC,VH,A,76.6,77,64.5,121,25.0,592,55.4,226,25.1,533,28.0,446,97.9,28,61.9,193,96.5,37=,2025,120.07020000000006,Middle,99,46.25,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Western Australia,Australia,Oceania,L,FC,VH,A,55.5,141,41.8,225,13.1,701+,98.8,30,100.0,37,99.8,40,94.2,95,78.0,128,50.8,315=,2025,120.3973,Middle,100,66.8,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Sheffield,United Kingdom,Europe,L,FC,VH,A,58.3,132,48.7,187,52.5,290,43.9,313,83.3,228,96.8,80,95.8,62,33.8,374,97.7,24=,2025,120.43330000000002,Middle,101,62.875,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Humboldt-Universität zu Berlin,Germany,Europe,XL,FC,VH,A,89.2,46,69.9,102,7.4,701+,27.0,476,69.1,288,35.1,391,93.1,114,19.0,580,19.9,535=,2025,120.7133,Middle,102,39.675000000000004,Pelatihan Lanjutan,2,Pelatihan Lanjutan
"Trinity College Dublin, The University of Dublin",Ireland,Europe,L,FC,VH,A,69.5,93,47.4,195,20.2,668,58.4,210,99.3,101,88.0,133,91.3,153,88.6,83,57.7,276=,2025,121.42149999999997,Middle,103,59.025,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Technical University of Denmark,Denmark,Europe,M,FO,VH,A,33.2,265,22.1,421,99.1,34,84.4,98,100.0,55,87.7,135,88.1,194,43.6,293,47.9,328,2025,121.97650000000002,Middle,104,76.10000000000001,Outsourcing,1,Outsourcing
University of Oslo,Norway,Europe,L,FC,VH,A,55.6,139,16.0,534,73.8,175,55.7,225,91.6,180,31.7,416,97.3,35,80.9,121,72.1,208=,2025,122.57360000000003,Middle,105,54.2,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Adelaide,Australia,Oceania,L,FC,VH,A,56.0,138,38.9,242,17.9,701+,87.0,86,100.0,78,99.3,53,93.6,108,51.5,246,95.7,49,2025,122.74400000000001,Middle,106,65.05,Pelatihan Lanjutan,2,Pelatihan Lanjutan
