institution,Location,Region,SIZE,FOCUS,RES.,STATUS,academic_reputation_score,Academic_Reputation_Rank,employer_reputation_score,Employer_Reputation_Rank,faculty_student_score,Faculty_Student_Rank,citations_score,Citations_per_Faculty_Rank,international_faculty_score,International_Faculty_Rank,international_student_score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,year,rank,ranking_level,predicted_rank,student_performance_score,student_program_target,label_encoded,student_program_target_predicted
New Jersey Institute of Technology (NJIT),United States,Americas,M,FO,VH,A,4.8,601+,6.7,601+,10.2,701+,30.4,433,31.5,487,52.9,278,29.1,701+,5.1,701+,26.5,476=,2025,465.36219999999986,Low,846,24.575,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad de la República (Udelar),Uruguay,Americas,XL,FC,HI,A,27.1,322,13.7,591,14.2,701+,1.6,701+,7.9,701+,2.3,701+,62.4,599,87.7,89,2.6,701+,2025,465.3736999999999,Low,847,11.299999999999999,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Hull,United Kingdom,Europe,L,FC,HI,A,8.9,601+,4.5,601+,14.3,701+,21.5,537,63.3,309,81.5,166,76.9,380,20.5,555,68.0,228=,2025,465.37789999999995,Low,848,31.55,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of New Brunswick,Canada,Americas,M,CO,VH,A,4.9,601+,8.3,601+,19.9,677,27.5,470,61.0,320,34.1,397,48.7,701+,17.3,613,29.0,453=,2025,465.3912000000001,Low,849,21.6,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universiti Teknologi MARA - UiTM,Malaysia,Asia,XL,FC,VH,A,30.8,288,40.4,234,17.6,701+,2.8,701+,1.7,701+,2.1,701+,68.6,503,3.6,701+,15.2,590=,2025,465.4055999999999,Low,850,13.325000000000001,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Brandeis University,United States,Americas,M,CO,VH,B,9.4,601+,4.8,601+,53.1,288,11.6,701+,18.0,627,75.1,186,32.3,701+,16.5,624,1.1,701+,2025,465.42550000000006,Low,851,37.3,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Instituto Tecnológico de Buenos Aires (ITBA),Argentina,Americas,S,FO,HI,B,8.8,601+,24.6,387,39.0,401,1.3,701+,17.3,638,12.3,674,2.7,701+,22.3,515,,,2025,465.46090000000027,Low,852,15.349999999999998,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Indian Institute of Technology Indore (IIT Indore),India,Asia,S,FO,VH,A,6.1,601+,5.0,601+,27.1,558,95.6,47,2.1,701+,1.1,701+,23.6,701+,2.2,701+,4.2,701+,2025,465.46310000000005,Low,853,32.475,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Sechenov University,Russia,Europe,L,SP,VH,A,5.3,601+,5.0,601+,57.4,256,4.3,701+,9.0,701+,63.0,241,83.6,272,1.9,701+,1.0,701+,2025,465.4793999999999,Low,854,32.5,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Salford,United Kingdom,Europe,L,CO,HI,A,6.8,601+,3.9,601+,6.4,701+,6.9,701+,36.7,435,69.8,212,63.6,579,9.6,701+,5.8,701+,2025,465.51499999999965,Low,855,22.475,Pelatihan Lanjutan,2,Pelatihan Lanjutan
